filename,score,skills,text
19612167.pdf,0.9,[],engineering supervisor executive summary dedicated engineer with excellent technical  analytical and communication skills demonstrated by 9 years of experience  team-oriented electrical engineer with over four years experience designing  developing and testing electronic products  forward-thinking electrical engineer with hands- on experience performing quality troubleshooting  electronics system  and plumbing  perform general repairs on all floor covering  upholstery  welding  and fabrication  ...
14554542.pdf,0.86,[],engineering technician v experience 04 2014 to 07 2015 engineering technician v company name ï¼  city   state 04 1996 to 07 2015 engineering technician v company name ï¼  city   state i have over 29 years of progressive experience in the electrical  communications  electronics  and telecommunications fields  as technical team lead  he has led major uscg shipboard communications upgrades or shipboard installations on 225  seagoing buoy tenders  wlb   175  coastal buoy tenders  wlm   and 87  coast...
21847415.pdf,0.86,[],engineering technician ii summary my goal is to become associated with a company where i can utilize my skills and gain further experience while enhancing the company s productivity and reputation  highlights excellent communication techniques engineering standards expert complex problem solver advanced critical thinking microsoft excel  project and visio engineering operational functions multidisciplinary exposure project management advanced engineering knowledge troubleshooting specialist init...
24647794.pdf,0.85,['c++'],engineering intern profile proficient entry level electrical engineer with excellent technical  analytical and communication skills  willing to relocate anywhere in the us  skills testing   troubleshooting   embedded hardware   software  microprocessors   computer systems   hardware   software design   digital signal processing   analog and digital filter design  reading circuit schematics  circuit design and analysis   digital logic   soldering   project management electronics   low and high vo...
10712803.pdf,0.84,['c++'],engineering services manager executive profile a results driven controls engineer and project manager with over 20 years of experience in manufacturing  skilled in industrial automation and process engineering with a strong mechanical design background  proven ability to lead and motivate high performance teams  history of building systems with improved functionality and productivity  consistently meeting critical requirements  skill highlights proficient in process engineering and applying proc...
23438227.pdf,0.84,['c++'],engineering assistant profile r etired engineering assistant with 25 years of telecommunications experience  excellent cad drafting skills and quality clerical abilities  skills ability to utilize tirks  switch  lfacs  microstation  icgs   idds  word  excel  requestnet  aardwolf  adtran  microsoft outlook  ccp  wsam image  lotus sametime  fiber brains  ringbuilder  plat indexes  venue  wsam-dc fiber  traffic control and state highway database  assist  workforce management systems  and office swi...
10030015.pdf,0.83,[],engineering lab technician career focus my main objective in seeking employment with triumph actuation systems inc  is to work in a professional atmosphere where i can utilize my skills and continue to gain experience in the aerospace industry to advance in my career  professional experience engineering lab technician oct 2016 to current company name ï¼  city   state responsible for testing various seat structures to meet specific certification requirements  â maintain and calibrate test instrum...
15858254.pdf,0.83,[],electrical engineering lab technician summary over 10 years experience in technical support in high speed networking semiconductor  lab network administration  problem resolution  documentation and lab management  self-driven team player with strengths in communication and developing interpersonal ralationships  possess excellent planning  organization  time management and decision-making skills  strategically coordinate and collaborate with cross-functional departments and individual to maximiz...
11981094.pdf,0.82,['c++'],software engineering manager summary experienced software engineer  and hands-on engineering manager with 20+ years of product development experience in broadcast media  and 10+ years of experience in leading development teams  20+ engineers   hiring  10+ offers  40+ interviews   hr personnel procedures  performance reviews  and project transitions  experience 09 2009 to current software engineering manager company name ï¼  city   state visual c++  windows  oop  stl  winapi  mfc  threads  atl  i...
19124258.pdf,0.82,[],engineering planning manager experience engineering planning manager may 2015 to august 2017 company name ï¼  city   state company manufactures ankle monitoring systems  maintain inventory  maintain manufacturing orders issues and receipts  senior manufacturing project engineer may 1996 to march 2015 company name ï¼  city   state company  oem and cms  manufactures pcb s  dh tools and electronics  box builds  etc  supervise planning departments  this involved reviewing orders  monitoring shortage...
20566550.pdf,0.82,"['python', 'c++']",engineering intern personal summary age -22 years â permanenet residency of australia and new zealand citizen â  currently living in sydney australia   knowledge base c python r stk catia ansys latex solidworks microsoft office microsoft project academic background high school diploma   mathematics physics chemistry engineering 2012 nortmead high school ï¼  city   state   australia ranked 1st place in 2 unit mathematics  physics  chemistry and engineering studies ranked 3rd place in extension 1 ...
21298336.pdf,0.82,[],engineering intern summary motivated entry level civil engineer with technical knowledge and a quality assurance mindset necessary to conquer unforeseen obstacles  organized  detail-oriented  and efficient work ethics  committed to high performance and mastering tasks to better future duties â â relevant courses materials of construction construction management reinforced concrete structural steel design surveyâ engineering leadership foundation design environmental engineering soil engineering ...
19553067.pdf,0.81,[],project administrator engineering summary a consistent team leader with great analytic and interpersonal skills  highly focused in achieving and maintaining excellent customer relationships to assist you in achieving your organizational goals  i have over 10 years progressive experience in accounting  property accounting and project administration and have deliver consistent contributions to increased productivity  decreased cost and produced strong revenue gains through teambuilding  self-motiv...
17043822.pdf,0.8,['c++'],clinical engineering manager summary a accomplished clinical engineering manager with more than 12 years of training and experience i lead clinical engineering directives to provide superior customer service and operational efficiency  i have a proven track record managing the execution of the medical equipment management plan at various health facilities in the west virginia regional area  i posses exceptional team building and leadership skills  customer focused with proven skills in interpers...
23234047.pdf,0.79,"['java', 'c++']",engineering supervisor skills plc  iec 61131  ladder logic  functional block diagram  structured text  instruction list     java  c  visual basic  vhdl  pspice  assembly  intel  motorola  ti   labview  software packages  autocad  inventor  matlab  microsoft office  psim  easy power  xilinx ise  printed circuit board cad  protel   siemens step 7  wago codesys  allen bradley rslogix  erp  alliance  global shop  xa  sap   professional experience engineering supervisor december 2014 to current compa...
12472574.pdf,0.78,"['java', 'c++']",qa engineering team lead career overview eight years of progressive technical experience in quality assurance engineering of computer software in windows environment strong practical and theoretical knowledge of software quality assurance tools and techniques  proven ability to develop system test strategy and methodology full-scale system integration and testing for quality  reliability  functionality and computability  expertise in development of ieee compliant testing documentation key contri...
15941675.pdf,0.78,[],process engineering technician iii accomplishments pharmacy exemptee certificate  skill path  mountain view  ca   yellow belt process excellence  alza corp  redwood city  ca   fundamentals of pharmaceutical cgmps  alza corp  mountain view  ca   hazmat industrial technician certificate  alza corp  palo alto  ca   first site supervisor  skill path  sunnyvale  ca   supervising for safety  alza corp  mountain view  ca   training the trainer  alza corp  mountain view  ca   how to be a better communic...
21038022.pdf,0.78,"['java', 'c++']",corporate process systems engineering manager executive summary high-energy engineering manager driven to cut company costs and boost company revenue through innovative management techniques  organized and diligent  with excellent written  oral and interpersonal communication skills  results-focused management professional offering 30 years of progressive leadership experience  transforms high-potential staff into outstanding leaders who demonstrate the creativity and savvy that is critical to f...
12488356.pdf,0.77,[],senior engineering program manager summary accomplished senior program management professional with a successful broad-based career defining and guiding the implementation of industry best practices  standards  processes  and tools to strengthen organizations and drive competitive growth  extensive expertise in leading and delivering cross-functional transformational solutions  demonstrated knowledge of project life cycle methodologies with experience in developing and implementing leading-edge ...
15601399.pdf,0.77,[],self-sustaining engineering technician summary versatile self sustaining engineering fabrication technician adept at managing projects and resolving issues as well as hardware troubleshooting  highly effective at working independently and as part of a team  recently worked in diffusion furnace while making 300mm wafers  previously worked in wet etch and plasma asher while making 200mm and transitioning into the 300mm wafers  i have an impressive blend of technical expertise and people skills  co...
13149176.pdf,0.76,[],engineering technician professional summary seeking a position of engineering technician  summary of qualifications  fifteen years of r d lab support  troubleshoot and debug system to component level  ten years of test lab setup and test equipment configuration  over ten years of quality analyst inspections  pc board rework  fine pitch and through hole soldering  test plan and test case development  validation and regression tests execution and documentation  complex system troubleshooting  resu...
14206561.pdf,0.76,[],engineering technician highlights pc operating systems  microsoft office  outlook  internet experience company name city   state engineering technician 01 2014 to current analyze documentation to ensure production accuracy  use ms excel and powerpoint to create presentations and spreadsheets  engage engineering to resolve production issues  create and maintain production training certifications  generate training matrix to determine and eliminate training gaps  conduct weekly safety audits to re...
19397727.pdf,0.74,[],engineering technician iii summary engineering technician with an extensive troubleshooting  repair  and installation background  thorough knowledge of electrical  mechanical  pneumatic and computer systems  self-starter who quickly masters new skills and systems  highlights extensive troubleshooting and repair proficiency interpretation of schematics  blueprints and drawings quick to act on customer service requests issues resolve issues down to the component level document work performed throu...
15139979.pdf,0.73,[],engineering assistant summary knowledgeable engineering superintendent well-versed in supporting projects and managing related documentation  first-rate multitasker  problem-solver and organizer with methodical and thorough approach  proficient in power points and word documents  skills administrative support ap critical thinking doors engineer senior management forms functional leadership machinery navy oil organizational pearl personnel personnel management pick problem solving progress projec...
16803215.pdf,0.73,['java'],engineering assistant career focus my full name is kailie marie mahea lani graciidis  i am an ambitious 20 year old and also a part-time student at bellevue college  i have a desire to work in the ocean one day and to also manage my own online company  but have yet to choose the right major s  towards those goals  summary of skills ability to make decisions and solve problems ability to work in a team structure attention to detail balanced computer proficient dependable determined educated fast ...
17926546.pdf,0.73,[],engineering associate profile team-oriented engineering associate with over 8 years experience designing  developing  maintaining  and testing electro-mechanical systems  skills electro-mechanical design jmp microsoft visual basic microsoft excel vision system programming microsoft power point electronic computer systems microsoft visio engineering software six sigma 5x methodology strong presentation skills adaptable process improvement electrical troubleshooting tools team player ability to re...
22890839.pdf,0.73,['python'],corporate engineering support technician summary technical support engineer technical support telecom support networking support software pc lan troubleshooting accomplished in technical support with 4 years of experience troubleshooting and maintaining user applications  workstations  and accounts across multiple platforms  os x  linux  windows  android  ios   updated and written user-facing and it-facing technical   provides outstanding customer service and a strong ability to communicate tech...
12748557.pdf,0.72,['c++'],regional engineering manager engineering director innovative  solution-driven engineering director with over 25 years  experience deliveringâ high-profile its scada projects for the transportation and water waste water industries  â expertise includes  technical solution architecting and cost estimating  mission critical its scada system design and delivery  disaster recovery planning  technical program management  and cross-team leadership  â   â   execution and results oriented individual with...
10219099.pdf,0.71,[],equipment engineering technician professional summary skilledâ maintenance mechanicâ technician with superb problem solving and multi-tasking skills  self-directed and motivated worker  to obtain a position where teamwork  integrity and proffesionalism are a high standard in the company s mission statement  all while engaing in new challenges and learning experiences  skills â â â 20 years of material management experienceâ with state and federal government â  13 years of law enforcement experie...
10624813.pdf,0.7,"['python', 'java', 'c++', 'aws']",engineering operations director executive profile senior software executive senior software executive who is a key contributor to strategic planning and product development  highly skilled at creating and implementing key software improvements and process changes by uncovering major process limitations  maximizing profitability  scalability  and competition in the global marketplace  accomplishments  over last 15 years +  reported directly to c-level executives and board members  successfully br...
14049846.pdf,0.69,[],engineering intern summary looking for an opportunity as an engineer or related position which offers key participation  team-oriented tasks  immediate challenges and career opportunities in a reputed organization which will help me deliver my best and upgrade my skills in engineering and meet the demands of the organization  to utilize my technical skills for achieving the target and developing the best performance in the organization  i would like to implement my innovative ideas  skills and c...
20882041.pdf,0.69,[],engineering manager summary mechanical engineer with more than 30 years of progressive experience specializing in economics driven project justification â management and mechanical design  much of my career has been focused on paper converting equipment and operations developing into roles in maintenance and reliability systems â more recentlyâ responsible for facilitating the capital investment portfolio for the halsey mill  highlights project management paper converting equipment facility and ...
13264796.pdf,0.68,[],director of engineering experience director of engineering   04 2018 to 05 2018 company name â   city   state calero is a leading provider of communications lifecycle management  clm  solutions designed to turn communication data into actionable insight by simplifying the management of voice  mobile  and other communications services and assets in control of two new product development teams and one legacy team working driving future growth started the atlanta engineering office hiring 12 junior...
12518008.pdf,0.67,[],engineering manager professional summary experienced product development engineer and manager able to collaborate with cross functional team as well as customers and sales to bring brand new offerings to new markets  skilled at managing cross functional team for continuous improvements and meeting project deadlines  offering 6 years of experience in the field  skills microsoft office microsoft project product development quality research six sigma green belt solid works visio prioritization pers...
17103000.pdf,0.66,[],multi-skilled engineering manager qualifications microsoft project microsoft office microsoft visio ibm rationale doors communication presentations risk analysis process improvement cmpro experience multi-skilled engineering manager 03 2015 to current company name city   state graduate of boeing s gs s emerging leadership development program  selected to participate in boeing s systems engineering leadership program  tested and implemented first time quality metrics across boeing s gs s division...
17108676.pdf,0.63,[],mechanical engineering intern summary highly motivated mechanical engineering student  eit  interested in pursuing an engaging position in the corporate setting to implement skills honed through years of engineering background  a dedicated student with problem-solving  leadership  and communication skills along with the capability to build relationships and work in a team-oriented environment  highlights proficient in solidworks linear control autocad solid mechanics engineering graphics and des...
21629057.pdf,0.56,[],engineering technician  field service professional summary results-driven and focused engineering technician who prioritizes safety  cost-effective solutions and exceeding customer expectations  with my background in both field service and as an engineering technician  i was able to effectively reduce test and production time through gaining a true understanding for the process without sacrificing quality  long term goals   become an intuitive i e technician in the pulp and paper industry  teach...
16911115.pdf,0.55,[],biomedical engineering technician ii professional summary versatile bmet ii highly effective at working independently and as part of a team  expertise in installation and inspection of medical devices  core qualifications microsoft excel  project and visio adobe engineering standards osha regulations ms office proficient competency in procedure development advanced anatomy knowledge advanced knowledge of embedded systems vast technical knowledge windows xp vista dhcp dns ethernet and firewall pr...
23497307.pdf,0.54,[],engineering project manager experience engineering project manager   05 2015 to 07 2017 company name â   city   state managed various engineering projects from start to finish while cultivating the client relationship and overall sales processes both internally and externally  tracked and reported key performance indicators while keeping present with market trends  created data automation processes for managing projects  processed proposals for new and existing customers with intentional sales t...
